id,Booking_status,Probability
42100,0,0.091369756
42101,0,0.028586315
42102,0,0.31954983
42103,0,0.22186036
42104,0,0.47887546
42105,1,0.51227486
42106,1,0.5853266
42107,1,0.73431647
42108,0,2.051787e-09
42109,1,0.50159866
42110,1,0.63789016
42111,0,0.2898279
42112,0,0.41983086
42113,0,0.13231637
42114,0,0.31818572
42115,1,0.80078596
42116,0,0.046059016
42117,0,0.30810162
42118,1,0.8584903
42119,1,0.8583233
42120,1,0.8782468
42121,0,0.1798453
42122,0,0.009826242
42123,1,0.5393037
42124,1,0.7873648
42125,0,0.0039856113
42126,0,1.0172579e-34
42127,0,0.00795433
42128,0,0.32984304
42129,1,0.75823885
42130,1,0.8591686
42131,1,0.5308656
42132,0,0.30622953
42133,1,0.95219564
42134,0,0.39641243
42135,0,5.0083083e-17
42136,0,0.03630378
42137,0,0.46759167
42138,1,0.61887306
42139,1,0.81389
42140,0,0.006369498
42141,0,0.28840014
42142,1,0.7356662
42143,1,0.8774717
42144,0,0.12454472
42145,1,0.80002207
42146,0,0.045199145
42147,1,0.89360917
42148,1,0.59711844
42149,0,0.38077924
42150,0,0.2814428
42151,1,0.7099532
42152,1,0.784678
42153,0,0.1282759
42154,1,0.53309417
42155,0,0.49834636
42156,0,0.49091607
42157,0,0.025984298
42158,0,0.27043092
42159,1,0.8041144
42160,1,0.7013991
42161,0,5.9827656e-08
42162,0,0.056944136
42163,0,0.036970187
42164,1,0.7289429
42165,0,0.38909498
42166,1,0.79527265
42167,0,8.216617e-09
42168,1,0.71644855
42169,0,0.44194025
42170,0,0.017512158
42171,0,0.08184483
42172,0,0.41106766
42173,1,0.8509212
42174,0,0.11830219
42175,0,0.22609034
42176,1,0.89820796
42177,0,0.17420481
42178,0,0.052002613
42179,1,0.8451773
42180,1,0.7322037
42181,0,0.47591218
42182,1,0.6971862
42183,1,0.5910089
42184,0,0.09579591
42185,0,0.18958856
42186,0,0.21219954
42187,0,0.37694174
42188,0,0.033175953
42189,0,0.1352829
42190,0,0.34591886
42191,0,0.42194593
42192,0,0.27195972
42193,0,0.2769718
42194,0,0.35039183
42195,1,0.8919219
42196,1,0.8462247
42197,0,0.49227804
42198,1,0.66532934
42199,1,0.5467486
42200,1,0.5764316
42201,1,0.67388433
42202,0,0.4814866
42203,0,0.28387716
42204,1,0.73375505
42205,0,0.23481788
42206,0,0.011450863
42207,1,0.73735064
42208,0,0.044839937
42209,0,0.39617175
42210,0,0.294772
42211,0,0.27336532
42212,0,0.34000275
42213,1,0.8239146
42214,1,0.81305623
42215,0,0.47257248
42216,1,0.54142725
42217,0,0.15488182
42218,0,0.033745583
42219,0,0.12421621
42220,0,0.43757704
42221,1,0.66035813
42222,0,0.4699423
42223,0,0.16272964
42224,1,0.8962305
42225,1,0.7346814
42226,1,0.8693632
42227,0,0.056152537
42228,0,0.48159683
42229,0,0.08886704
42230,0,0.30301616
42231,1,0.76481086
42232,1,0.89161503
42233,0,0.12861207
42234,1,0.91400397
42235,0,0.15818363
42236,0,0.0408298
42237,1,0.73736846
42238,0,0.25909045
42239,0,0.16402245
42240,1,0.90433115
42241,1,0.5547926
42242,0,0.12749836
42243,1,0.9130489
42244,0,0.31607047
42245,1,0.6197679
42246,1,0.8691781
42247,1,0.7856515
42248,0,0.4503207
42249,1,0.8681545
42250,1,0.5072859
42251,0,0.22653167
42252,1,0.78757864
42253,1,0.70493394
42254,0,0.08590766
42255,0,0.14530914
42256,1,0.6186169
42257,1,0.64082974
42258,0,0.3138854
42259,1,0.73926854
42260,1,0.6954432
42261,1,0.6970538
42262,1,0.8222069
42263,1,0.93414474
42264,0,0.10457717
42265,1,0.7732667
42266,0,0.031038228
42267,0,0.21914873
42268,1,0.790299
42269,0,0.08923819
42270,1,0.8513774
42271,1,0.77223814
42272,0,0.08801021
42273,0,0.13872588
42274,1,0.8313774
42275,0,0.28051072
42276,0,0.15699165
42277,0,0.07509744
42278,0,0.035892155
42279,0,0.28653622
42280,0,0.34383598
42281,0,0.0012503089
42282,1,0.5909391
42283,0,0.099800654
42284,0,0.4625034
42285,0,0.04305285
42286,0,0.10708147
42287,1,0.7238776
42288,0,0.35217315
42289,1,0.685501
42290,0,0.031700436
42291,1,0.8765846
42292,0,0.10439383
42293,1,0.7514102
42294,1,0.96203977
42295,0,0.2013277
42296,0,0.037341263
42297,0,0.20009522
42298,0,0.083851986
42299,1,0.8170571
42300,0,0.20471863
42301,0,0.48036748
42302,0,0.28104353
42303,0,0.25572315
42304,0,0.15188743
42305,0,0.3165364
42306,0,0.19452518
42307,0,0.060929056
42308,0,0.2696738
42309,0,0.13861258
42310,0,0.43684945
42311,1,0.6243553
42312,0,0.075893186
42313,1,0.8860735
42314,1,0.5889713
42315,0,0.2279244
42316,1,0.6220683
42317,0,0.12666191
42318,0,0.4307413
42319,0,0.016117916
42320,0,0.35359058
42321,0,0.48813218
42322,1,0.7798138
42323,0,0.0397537
42324,1,0.7112174
42325,0,0.04141087
42326,1,0.6179605
42327,0,0.032644782
42328,0,0.105862774
42329,0,0.042672597
42330,1,0.7521128
42331,0,0.4532447
42332,0,0.4746525
42333,1,0.73509395
42334,0,0.025055205
42335,1,0.74222314
42336,0,0.121617705
42337,1,0.7269984
42338,0,0.27145907
42339,0,0.015342115
42340,0,0.06906472
42341,1,0.62854517
42342,1,0.81100386
42343,0,0.45010465
42344,0,0.35640383
42345,0,0.025482941
42346,1,0.97621125
42347,1,0.7723503
42348,1,0.69859946
42349,0,0.055671312
42350,0,0.3810539
42351,0,0.07458795
42352,1,0.74960667
42353,1,0.7131275
42354,0,0.12859803
42355,0,0.18357961
42356,1,0.5700869
42357,0,3.9395374e-05
42358,1,0.81812954
42359,0,0.108725205
42360,1,0.81000185
42361,0,0.17072573
42362,1,0.7308358
42363,0,0.18898441
42364,0,0.2104967
42365,0,0.22228917
42366,0,0.2664681
42367,1,0.6832944
42368,0,0.4640493
42369,1,0.787108
42370,0,0.42181203
42371,0,0.048449177
42372,1,0.52973336
42373,1,0.8921351
42374,0,0.38234776
42375,0,0.3311279
42376,0,0.0523316
42377,1,0.89560175
42378,1,0.6292508
42379,0,0.22154844
42380,0,0.021820936
42381,0,0.46386927
42382,1,0.6621602
42383,1,0.9053391
42384,0,0.29171652
42385,0,0.01153912
42386,1,0.8473337
42387,1,0.69444454
42388,0,0.052139644
42389,0,0.015184734
42390,1,0.8395488
42391,0,0.27455372
42392,0,0.0422021
42393,0,0.17067465
42394,0,0.36838678
42395,1,0.5203185
42396,0,0.04039899
42397,1,0.9143693
42398,0,0.082198545
42399,1,0.7981471
42400,1,0.5973693
42401,0,0.3406187
42402,1,0.58939373
42403,0,0.37122867
42404,0,0.32842815
42405,0,0.26260236
42406,0,0.48312232
42407,0,0.1280021
